stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
MARS2242594,42594,des Prairies / du Crochet,-73.69945,45.550526,0,0,1,0
MARS2242595,42595,des Prairies / du Pacifique,-73.70075,45.549903,0,0,1,0
MARS2242597,42597,des Prairies / du Pacifique,-73.70111,45.549555,0,0,1,1
MARS2242598,42598,des Prairies / Laval,-73.70285,45.548999,0,0,1,0
MARS2242599,42599,des Prairies / Laval,-73.70298,45.54881,0,0,1,0
MARS2242600,42600,des Prairies / du Bon-Pasteur,-73.70566,45.547761,0,0,1,0
MARS2242601,42601,des Prairies / du Bon-Pasteur,-73.70582,45.547581,0,0,1,0
MARS2242602,42602,des Prairies / Brien,-73.70729,45.547075,0,0,2,0
MARS2242603,42603,des Prairies / Dussault,-73.70904,45.545911,0,0,1,0
MARS2242604,42604,des Prairies / Dussault,-73.70915,45.545694,0,0,2,0
MARS22CP42605,42605,des Prairies / Giroux,-73.71062,45.544972,0,0,1,0
MARS2242606,42606,des Prairies / Talbot,-73.68064,45.555659,0,0,2,0
MARS22CP42607,42607,des Prairies / Giroux,-73.71075,45.544765,0,0,1,0
MARS2242608,42608,des Prairies / Verdi,-73.71185,45.544196,0,0,1,0
MARS2242609,42609,des Prairies / Aubry,-73.71199,45.543936,0,0,1,0
MARS2242610,42610,des Prairies / Clermont,-73.71316,45.543096,0,0,1,0
MARS2242611,42611,des Prairies / Clermont,-73.7133,45.542789,0,0,2,0
MARS2242612,42612,des Prairies / Micro,-73.71568,45.541462,0,0,1,0
MARS2242613,42613,des Prairies / Micro,-73.71593,45.541282,0,0,2,0
MARS2242614,42614,des Prairies / Armand-Frappier,-73.71762,45.540909,0,0,1,1
MARS2242615,42615,des Prairies / Armand-Frappier,-73.71822,45.540647,0,0,1,1
MARS2242616,42616,des Prairies / Daniel-Johnson,-73.72156,45.539885,0,0,1,0
MARS2242617,42617,des Prairies / Talbot,-73.68054,45.555544,0,0,1,0
MARS2242618,42618,Lévesque / Daniel-Johnson,-73.72191,45.539731,0,0,2,0
MARS2242619,42619,des Prairies / Juge-Desnoyers,-73.67737,45.558067,0,0,1,0
MARS2242620,42620,des Prairies / Émile,-73.68295,45.554684,0,0,2,0
MARS2242621,42621,des Prairies / Émile,-73.68307,45.554522,0,0,1,0
MARS2242622,42622,des Prairies / Conrad,-73.68467,45.553889,0,0,1,0
MARS2242623,42623,des Prairies / Conrad,-73.685,45.553619,0,0,1,0
MARS22CP42624,42624,des Prairies / Mont-de-la Salle,-73.68661,45.552995,0,0,1,0
MARS2242625,42625,Prince-Rupert / des Perron,-73.74616,45.632715,0,0,2,0
MARS2242626,42626,Prince-Rupert / Saint-Saens,-73.7502,45.638069,0,0,2,0
MARS2242627,42627,Prince-Rupert / Rancourt,-73.75064,45.640174,0,0,2,0
MARS2242628,42628,Prince-Rupert / Rancourt,-73.75073,45.63985,0,0,2,0
MARS2242629,42629,Prince-Rupert / Réaumur,-73.75116,45.641927,0,0,2,0
MARS2242630,42630,Prince-Rupert / Réaumur,-73.75141,45.642107,0,0,2,0
MARS22CP42631,42631,Prince-Rupert / Robillard,-73.7521,45.645066,0,0,2,0
MARS22CP42632,42632,Prince-Rupert / Robillard,-73.75236,45.645182,0,0,2,1
MARS2242633,42633,Prince-Rupert / des Perron,-73.74612,45.632463,0,0,2,1
MARS2242634,42634,Prince-Rupert / face au 5835,-73.74778,45.634178,0,0,2,0
MARS2242635,42635,Prince-Rupert / face au 5840,-73.74797,45.634169,0,0,2,0
MARS2242636,42636,Prince-Rupert / Pageau,-73.74924,45.635669,0,0,2,0
MARS2242637,42637,Prince-Rupert / Pageau,-73.74951,45.635821,0,0,2,0
MARS2242638,42638,Prince-Rupert / Saint-Saens,-73.74989,45.637656,0,0,2,0
MARS2242639,42639,Principale / Bigras,-73.79876,45.535849,0,0,2,0
MARS2242640,42640,Principale / Lise,-73.81039,45.531958,0,0,2,0
MARS2242641,42641,Principale / de l'Hôtel-de-Ville,-73.81535,45.530837,0,0,2,0
MARS2242642,42642,Principale / Duprat,-73.81293,45.531384,0,0,2,0
